target	ref_from	ref_type	function_entry	function_name
140e44e6c	1400e9ea0	READ	1400e9e20	FUN_1400e9e20
140e44e6c	1400ea127	READ	1400e9e20	FUN_1400e9e20
140e44e6c	1400eb69f	READ	1400e9e20	FUN_1400e9e20
140e44e6c	1400ee219	READ	1400ee200	FUN_1400ee200
140e44e6c	1400ee71d	READ	1400ee710	FUN_1400ee710
140e44e6c	1400f1263	READ	1400f1250	FUN_1400f1250
140e44e6c	1400f3081	READ	1400f3060	FUN_1400f3060
140e44e6c	1400f4443	READ	1400f4430	FUN_1400f4430
140e44e6c	14006d9ca	READ	14006ce40	FUN_14006ce40
140e44e6c	14006e456	READ	14006ce40	FUN_14006ce40
140e44e6c	1400c0a5c	READ	1400be7a0	FUN_1400be7a0
140e44e6c	1400c1aad	READ	1400be7a0	FUN_1400be7a0
140e44e6c	1400311f8	READ	14002d2f0	FUN_14002d2f0
140e44e6c	1400794ed	READ	140078b70	FUN_140078b70
140e44e6c	14007958d	READ	140078b70	FUN_140078b70
140e44e6c	1400795c2	READ	140078b70	FUN_140078b70
140e44e6c	140079629	READ	140078b70	FUN_140078b70
140e44e6c	140079661	READ	140078b70	FUN_140078b70
1407c779c	140078a5e	READ	140078a00	stage_entity_spawn_candidate
1407c779c	140078b22	WRITE	140078a00	stage_entity_spawn_candidate
1407c779c	14005d4db	READ	14005cc30	FUN_14005cc30
1407c779c	14008820a	READ	140088110	FUN_140088110
1407c779c	14009bed7	READ	14009b5f0	FUN_14009b5f0
1407c779c	1400bde95	READ	1400bca30	state_14_replay_demo_gameplay_update_candidate
1407c779c	1400c758d	WRITE	1400c6e10	FUN_1400c6e10
1407c779c	1401195be	READ	140118420	stage_01_gameplay_update_candidate
1407c779c	1400f6e4e	WRITE	1400f6c40	FUN_1400f6c40
1407c779c	1400dffdb	READ	1400de960	FUN_1400de960
1407c779c	1400e5956	READ	1400e5260	FUN_1400e5260
1407c779c	1400e7f70	READ	1400e6f70	FUN_1400e6f70
1407c779c	1400e9b16	READ	1400e8d20	FUN_1400e8d20
1407c779c	1401183cc	WRITE	140118290	FUN_140118290
1407c779c	14011b344	READ	140119640	stage_02_gameplay_update_candidate
1407c779c	14011cd5a	READ	14011b3d0	stage_03_gameplay_update_candidate
1407c779c	14011ee7b	READ	14011cdd0	stage_04_gameplay_update_candidate
1407c779c	1401215ea	READ	14011eef0	stage_05_gameplay_update_candidate
1407c779c	140122920	READ	140121660	stage_06_gameplay_update_candidate
1407c779c	14012358c	READ	140121660	stage_06_gameplay_update_candidate
1407c779c	1401241d6	READ	140123620	stage_07_gameplay_update_candidate
1407c779c	1401248e4	READ	140123620	stage_07_gameplay_update_candidate
1407c779c	14012536a	READ	140123620	stage_07_gameplay_update_candidate
