offset_hex,exe_path,re_relative,exists,actual_path
0x537348,media\stage\BossApproach1.png,stage\BossApproach1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/BossApproach1.png
0x537368,media\system\Manual_eng.png,system\Manual_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Manual_eng.png
0x537388,media\system\ManualMenu_eng.png,system\ManualMenu_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ManualMenu_eng.png
0x5373a8,media\system\DifficultyTips_eng.png,system\DifficultyTips_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DifficultyTips_eng.png
0x5373d0,media\system\KerPromot_eng.png,system\KerPromot_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KerPromot_eng.png
0x5373f0,media\player\PauseMenu_eng.png,player\PauseMenu_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PauseMenu_eng.png
0x537410,media\stage\TutorialPanel_eng.png,stage\TutorialPanel_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/TutorialPanel_eng.png
0x537438,media\player\Unlock_eng.png,player\Unlock_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Unlock_eng.png
0x537458,media\gallery\NoticeText2_eng.png,gallery\NoticeText2_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText2_eng.png
0x537480,media\gallery\NoticeText3_eng.png,gallery\NoticeText3_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText3_eng.png
0x5374a8,media\gallery\GalleryPic_eng.png,gallery\GalleryPic_eng.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/GalleryPic_eng.png
0x5374d0,media\system\Manual_ch1.png,system\Manual_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Manual_ch1.png
0x5374f0,media\system\ManualMenu_ch1.png,system\ManualMenu_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ManualMenu_ch1.png
0x537510,media\system\DifficultyTips_ch1.png,system\DifficultyTips_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DifficultyTips_ch1.png
0x537538,media\system\KerPromot_ch1.png,system\KerPromot_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KerPromot_ch1.png
0x537558,media\player\PauseMenu_ch1.png,player\PauseMenu_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PauseMenu_ch1.png
0x537578,media\stage\TutorialPanel_ch1.png,stage\TutorialPanel_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/TutorialPanel_ch1.png
0x5375a0,media\player\Unlock_ch1.png,player\Unlock_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Unlock_ch1.png
0x5375c0,media\gallery\NoticeText2_ch1.png,gallery\NoticeText2_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText2_ch1.png
0x5375e8,media\gallery\NoticeText3_ch1.png,gallery\NoticeText3_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText3_ch1.png
0x537610,media\gallery\GalleryPic_ch1.png,gallery\GalleryPic_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/GalleryPic_ch1.png
0x537638,media\system\TitleMenu2_ch1.png,system\TitleMenu2_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleMenu2_ch1.png
0x537658,media\system\MenuTitle_ch1.png,system\MenuTitle_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MenuTitle_ch1.png
0x537678,media\system\EquipMenu_ch1.png,system\EquipMenu_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/EquipMenu_ch1.png
0x537698,media\system\MapMenu_ch1.png,system\MapMenu_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MapMenu_ch1.png
0x5376b8,media\system\MapMenu2_ch.png,system\MapMenu2_ch.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MapMenu2_ch.png
0x5376d8,media\stage\BossApproach1_ch1.png,stage\BossApproach1_ch1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/BossApproach1_ch1.png
0x537700,media\system\Manual_ch2.png,system\Manual_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Manual_ch2.png
0x537720,media\system\ManualMenu_ch2.png,system\ManualMenu_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ManualMenu_ch2.png
0x537740,media\system\DifficultyTips_ch2.png,system\DifficultyTips_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DifficultyTips_ch2.png
0x537768,media\system\KerPromot_ch2.png,system\KerPromot_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KerPromot_ch2.png
0x537788,media\player\PauseMenu_ch2.png,player\PauseMenu_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PauseMenu_ch2.png
0x5377a8,media\stage\TutorialPanel_ch2.png,stage\TutorialPanel_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/TutorialPanel_ch2.png
0x5377d0,media\player\Unlock_ch2.png,player\Unlock_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Unlock_ch2.png
0x5377f0,media\gallery\NoticeText2_ch2.png,gallery\NoticeText2_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText2_ch2.png
0x537818,media\gallery\NoticeText3_ch2.png,gallery\NoticeText3_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText3_ch2.png
0x537840,media\gallery\GalleryPic_ch2.png,gallery\GalleryPic_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/GalleryPic_ch2.png
0x537868,media\system\TitleMenu2_ch2.png,system\TitleMenu2_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleMenu2_ch2.png
0x537888,media\system\MenuTitle_ch2.png,system\MenuTitle_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MenuTitle_ch2.png
0x5378a8,media\system\EquipMenu_ch2.png,system\EquipMenu_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/EquipMenu_ch2.png
0x5378c8,media\system\MapMenu_ch2.png,system\MapMenu_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MapMenu_ch2.png
0x5378e8,media\stage\BossApproach1_ch2.png,stage\BossApproach1_ch2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/BossApproach1_ch2.png
0x538c38,media\text\text01.csv,text\text01.csv,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/text/text01.csv
0x538c50,media\text\text02.csv,text\text02.csv,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/text/text02.csv
0x538c68,media\text\text03.csv,text\text03.csv,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/text/text03.csv
0x538c80,media\text\text04.csv,text\text04.csv,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/text/text04.csv
