address	value
1404b000c	NORMAL
1404b0018	Base_VERTEX3DSHADER.vso
1404b0030	TANGENT
1404b0038	BINORMAL
1404b0048	Base_VERTEX2DSHADER.vso
1404b01e8	..\\..\\..\\..\\..\\Source\\Library\\Main\\Windows\\DxGraphicsD3D11.cpp
1404b07f4	  Format:%d  SizeX:%d  SizeY:%d \n
1404b08c2	  Format:%d  SizeX:%d  SizeY:%d \n
1404b0950	  Format:%d  SizeX:%d  SizeY:%d \n
1404b09e0	  Format:%d  SizeX:%d  SizeY:%d \n
1404b0a42	 %dx%d ( %d, %d )-( %d, %d )]
1404b0ac2	 %dx%d ( %d, %d )-( %d, %d ) Not Main Target]
1404b0b58	1YWe 
1404b0f0a	[Graphics_D3D11_Texture_SetupCommonBuffer]\n
1404b12e8	Graphics Device:%s
1404b1310	DXGI_FORMAT_R8G8B8A8_UNORM
1404b1350	DXGI_FORMAT_D16_UNORM
1404b1390	DXGI_FORMAT_D24_UNORM_S8_UINT
1404b13d8	DXGI_FORMAT_D32_FLOAT
1404b1418	DXGI_FORMAT_B5G6R5_UNORM
1404b1438	DXGI_FORMAT_B5G5R5A1_UNORM
1404b1480	DXGI_FORMAT_B8G8R8X8_UNORM
1404b14c8	DXGI_FORMAT_B4G4R4A4_UNORM
1404b17a0	DXGI_FORMAT_R16G16B16A16_UNORM
1404b1840	DXGI_FORMAT_R16G16B16A16_FLOAT
1404b18e8	DXGI_FORMAT_R32G32B32A32_FLOAT
1404b1998	DXGI_FORMAT_R8_UNORM
1404b19b0	DXGI_FORMAT_R8G8_UNORM
1404b1a58	DXGI_FORMAT_R16_UNORM
1404b1a70	DXGI_FORMAT_R16G16_UNORM
1404b1b20	DXGI_FORMAT_R16_FLOAT
1404b1b38	DXGI_FORMAT_R16G16_FLOAT
1404b1bf8	DXGI_FORMAT_R32_FLOAT
1404b1c10	DXGI_FORMAT_R32G32_FLOAT
1404b27c8	D3D_FEATURE_LEVEL_9_1
1404b27e0	D3D_FEATURE_LEVEL_9_2
1404b27f8	D3D_FEATURE_LEVEL_9_3
1404b2810	D3D_FEATURE_LEVEL_10_0
1404b2828	D3D_FEATURE_LEVEL_10_1
1404b2840	D3D_FEATURE_LEVEL_11_0
1404b2858	D3D_FEATURE_LEVEL_11_1
1404b2900	\tAdapter No.%d Desc:%s  VRAM:%dMB
1404b2950	\t\tOutput Device No.%d Name:%s ( %d, %d )-( %d, %d )
1404b2eb8	BLENDINDICES
1404b2ec8	BLENDWEIGHT
1404b2fc6	 %d byte )\n
1404b301e	 %d byte )\n
1404b305a	 in G_D3D_DrawCircle
1404b3088	DirectX 11
1404b31aa	[Graphics_D3D11_BltBmpOrBaseImageToGraph3_NoMipMapBlt]\n
1404b3368	  Format:%d  SizeX:%d  SizeY:%d \n
1404b34c8	  Format:%d  SizeX:%d  SizeY:%d \n
1404b366c	  Format:%d  SizeX:%d  SizeY:%d \n
1404b36ec	  Format:%d  SizeX:%d  SizeY:%d \n
1404b388f	?..\\..\\..\\..\\..\\Source\\Library\\Main\\DxRingBuffer.cpp
1404b390c	 %d byte)
1404b3920	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxSoundConvert.cpp
1404b3c00	\\\\.\\root\\cimv2
1404b3c20	Win32_PNPEntity
1404b3c40	DeviceID
1404b3c60	VID_
1404b3c70	VID_%4X
1404b3c80	PID_
1404b3c90	PID_%4X
1404b3ce0	Device Product GUID  : %08x,%04x,%04x,%02x,%02x,%02x,%02x,%02x,%02x,%02x,%02x
1404b3d80	Device Instance GUID : %08x,%04x,%04x,%02x,%02x,%02x,%02x,%02x,%02x,%02x,%02x
1404b3e58	1YWe 
1404b3f50	1YWe 
1404b3f78	Device Product Name  : %s
1404b3fb0	Device Instance Name : %s
1404b4050	XBOX 360 FOR WINDOWS
1404b4100	XBOX ONE FOR WINDOWS
1404b4ae0	xinput1_4.dll
1404b4b00	xinput1_3.dll
1404b4b20	xinput9_1_0.dll
1404b4b98	XInputGetState
1404b4ba8	XInputSetState
1404b5020	Controller (XBOX 360 For Windows)
1404b5190	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxNetwork.cpp
1404b52c4	 in AcceptNetWork
1404b5318	 in RecvSocket\n
1404b5372	 in RecvSocket\n
1404b53e8	 %d byte)
1404b5428	 in SendSocket\n
1404b5482	 in SendSocket\n
1404b54a4	NoName
1404b54b8	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxHeap.cpp
1404b5646	  HeapAddress:0x%ll016x
1404b56ec	  HeapMemInfo->UseMemTagCount:%d
1404b581a	 MemTag->UseHeapMem:0x%ll016x  HeapMemInfo:0x%ll016x
1404b591c	 1  MemTag->Size %d
1404b596c	 2  MemTag->Size %d
1404b5da0	\tsize:%10d(%10.3fkb)  user size:%10d(%10.3fkb)  time:%05d  file:%-26s  line:%-6d  ID:%-5d  addr:%016llx
1404b5e08	  data:[
1404b5e14	%02x 
1404b5f20	  Heap->UseSeparateInfo = TRUE
1404b5fc0	  Heap->UseSeparateInfo = FALSE
1404b60dc	  Heap->UseSeparateInfo = TRUE
1404b616c	  Heap->UseSeparateInfo = FALSE
1404b61fa	  TotalSize:%lld   ( Heap->TotalUseSize + Heap->TotalFreeSize ):%lld
1404b62da	  TotalSize:%lld   TotalSize2:%lld
1404b636c	  ( MemTag->Prev->AllocAddress + MemTag->Prev->Size ):0x%ll016x  MemTag->AllocAddress:0x%ll016x
1404b647c	  MemTag->Next->AllocAddress:0x%ll016x  ( MemTag->AllocAddress + MemTag->Size ):0x%ll016x
1404b657c	  ( MemTag->Prev + MemTag->Prev->Size ):0x%ll016x  MemTag:0x%ll016x
1404b665c	  MemTag->Next:0x%ll016x  ( MemTag + MemTag->Size ):0x%ll016x
1404b681e	  TagNum:%d  ( Heap->SepTagArrayLength - Heap->SepTagArrayUseNum ):%d
1404b6916	  HeapMemNum:%d  ( Heap->SepHeapMemArrayLength - Heap->SepHeapMemArrayUseNum ):%d
1404b6a7e	  UseNum:%d  Heap->UseTagNum:%d
1404b6b0e	  TotalUseSize:%lld  Heap->TotalUseSize:%lld
